,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
0,1979-01-07,50.41131,49.062725,52.016273,47.31527,48.290543,44.175243,44.77558,49.1118,50.32715,47.622368,54.748272,48.787292,49.979843,48.15522,48.228676,49.010204,49.491577,51.701134,51.88147,47.51941,45.23359,49.17896,55.944546,45.801754,52.04223,49.429638,48.955864,48.267597,47.245064,45.730976,45.17831,49.790825,51.779896,46.40227,52.2157,46.609097,43.82961,44.085537
1,1979-01-14,54.74257,52.165497,52.47576,47.655293,47.83707,47.34981,48.46266,51.000473,52.238075,51.38381,54.06196,50.4958,51.74526,48.31932,55.319912,49.46112,51.217094,54.808197,52.72309,49.324986,46.531303,52.661545,60.79558,47.154663,55.514626,52.335026,52.16265,49.434982,48.114693,47.951286,46.11881,52.93961,55.197704,49.474926,55.742065,47.923897,46.670776,46.922173
2,1979-01-21,63.132908,73.548836,67.589676,67.55977,64.81582,70.602646,71.35135,68.32231,72.274475,70.75058,71.06564,75.73741,63.76103,66.59259,60.89306,69.15903,65.120964,67.07707,69.22136,68.272125,68.901535,70.76453,74.330414,68.81515,70.60834,63.296215,74.56842,65.794426,67.62578,69.42103,67.48765,68.99316,68.65322,71.0359,64.70733,68.60297,70.06849,69.43379
3,1979-01-28,57.92289,61.655884,61.11351,57.59707,57.88663,55.518887,55.22116,58.49425,62.53174,58.19523,63.694633,60.797077,58.69867,58.142548,57.084442,59.74817,58.13777,58.920006,62.10617,57.72779,56.22845,61.041836,63.653336,55.462406,60.68386,57.73731,61.27467,57.127888,56.58779,55.499348,56.357216,60.189735,60.058826,56.54588,58.402393,56.44755,55.86175,56.017933
4,1979-02-04,67.0719,69.82724,69.691315,68.60635,67.103165,68.247856,67.74777,69.9969,70.76473,70.72565,71.773895,67.897964,66.632545,68.54102,65.965515,69.756065,67.946175,69.15696,70.84812,69.98982,68.328766,70.54985,72.77719,68.63102,71.10265,66.46967,69.71789,67.864586,68.83905,69.539345,67.338425,71.17938,69.92443,70.245735,68.18675,69.614685,67.801735,68.38704
5,1979-02-11,65.35523,66.06954,66.27256,64.29067,63.29243,63.09673,62.874454,68.60919,66.76243,68.83033,68.797195,65.43823,65.453186,64.68946,61.790012,65.241234,66.55883,68.54559,67.261826,67.54855,63.30288,66.61126,73.25994,64.13983,71.04881,64.98172,66.23003,65.88032,65.55179,65.29735,62.65741,70.00353,69.99313,67.00751,66.27071,65.44743,62.54476,62.990284
6,1979-02-18,51.12018,67.042435,59.937996,57.609627,55.45361,60.70198,60.60014,58.292194,65.32491,63.016403,63.487053,63.11439,53.33315,56.77986,47.351433,60.181408,54.633224,55.384136,62.134666,59.322937,59.56781,64.4285,65.282486,58.89967,60.84574,50.900158,66.06535,55.184845,57.32597,59.5661,57.845818,59.090584,57.877605,62.138763,53.153477,59.122536,60.537292,60.775154
7,1979-02-25,48.526176,53.986816,51.213886,53.75795,50.91353,54.215565,54.7613,53.75286,52.83602,59.67981,51.28266,53.970062,50.112823,52.93799,46.61384,53.54041,50.967583,51.040398,53.693604,55.618813,53.186806,53.408413,60.75349,54.537434,55.607464,48.563946,55.262543,51.671223,53.71148,57.48707,52.961914,54.32938,52.099934,59.655346,49.94208,55.664932,52.38986,52.725376
8,1979-03-04,31.507727,38.367798,36.3216,34.764004,33.425507,34.500866,34.715073,34.518486,37.939686,38.9702,37.481113,36.607983,32.845226,34.058926,29.793825,36.213177,32.994316,32.51121,37.28528,35.72738,34.06151,37.693996,40.33245,35.254353,36.175304,31.379683,37.997707,33.194202,34.3923,37.28377,34.416767,34.99182,33.493332,38.92851,31.790163,35.93326,33.22836,33.47787
9,1979-03-11,36.031773,41.062374,39.626743,41.520473,39.592575,42.151703,41.481514,38.651245,41.109585,39.49714,39.85376,40.186813,39.940742,40.612686,34.47412,41.556767,39.022984,34.641193,40.628105,39.08899,41.45574,41.422398,35.90309,42.349087,35.850426,38.170933,41.477333,39.727783,40.423046,42.460327,41.719204,36.091553,34.22704,41.582996,34.287655,42.14254,41.368965,41.31679
