,Unnamed: 0,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
0,0,1979-01-07,0.16754839,0.161465,0.16758907,0.16657108,0.1655126,0.16322994,0.17319342,0.1743457,0.16510412,0.16589007,0.16756618,0.16915567,0.16970535,0.16881466,0.16828588,0.1739765,0.17121029,0.16564019,0.16747844,0.17139997,0.17318577,0.17117977,0.16060069,0.16715127,0.16482092,0.16719215,0.16397606,0.16937888,0.16764487,0.16945498,0.17584896,0.1658839,0.16121,0.17093737,0.16321684,0.16473892,0.16426754,0.16744292
1,1,1979-01-14,0.16055746,0.15342458,0.16129021,0.15815535,0.15754919,0.15775263,0.16734114,0.16629796,0.1569024,0.16147509,0.16036025,0.1622205,0.16424444,0.15957442,0.16631287,0.16809662,0.16292578,0.1580387,0.15896678,0.16617438,0.16907793,0.16583689,0.15752357,0.16353281,0.16001996,0.16140229,0.15650903,0.16208267,0.16266187,0.16581492,0.16956621,0.16149974,0.15634227,0.16637565,0.15416034,0.16066992,0.15800548,0.16259837
2,2,1979-01-21,0.23230551,0.35627496,0.31146684,0.39080036,0.39136085,0.36185655,0.34682167,0.36158693,0.3686811,0.37074268,0.32667232,0.3620607,0.37846962,0.40177143,0.18172777,0.4061863,0.3450504,0.22568417,0.40706623,0.3959777,0.39846027,0.38868162,0.27329063,0.38153616,0.2957638,0.31875363,0.37708235,0.35567537,0.37135446,0.3803401,0.4142989,0.30991173,0.23492496,0.3705977,0.19062519,0.39513618,0.35013568,0.34893024
3,3,1979-01-28,0.21626109,0.28777522,0.26439875,0.30054682,0.29814103,0.32785827,0.296109,0.2958166,0.29322523,0.29842204,0.27390394,0.3039283,0.2992773,0.30550593,0.17019862,0.30902562,0.28791255,0.20700435,0.3039648,0.31501216,0.30678004,0.3040702,0.24230403,0.30195227,0.2528387,0.27591404,0.29534358,0.29632014,0.30469722,0.3093918,0.31435603,0.2619726,0.20800227,0.30514136,0.18326269,0.31090754,0.28985536,0.28623408
4,4,1979-02-04,0.22838175,0.3880686,0.36741728,0.40480465,0.3272258,0.4069724,0.40006602,0.38948935,0.39766544,0.40044957,0.38587046,0.3855002,0.28692248,0.37776607,0.22240224,0.3987291,0.31032676,0.3083352,0.37948725,0.4146288,0.40609092,0.38953313,0.34063685,0.41678324,0.34853905,0.25169834,0.39038828,0.3590857,0.41165048,0.4296047,0.40792507,0.35790366,0.31507328,0.42666134,0.25459966,0.42839545,0.39589804,0.39878196
5,5,1979-02-11,0.2995829,0.42109084,0.35929805,0.35537958,0.34566483,0.3964931,0.39086515,0.35147274,0.4179451,0.41911393,0.40571767,0.41290283,0.31940114,0.3670144,0.3003018,0.40369716,0.33240303,0.32859477,0.3801233,0.38009214,0.40213567,0.41870102,0.40333468,0.38107347,0.37953648,0.30014586,0.40578404,0.36564875,0.36131573,0.40971813,0.40514165,0.3611309,0.33646616,0.43197998,0.30515945,0.37837774,0.40277463,0.3858698
6,6,1979-02-18,0.23272741,0.29796636,0.27302587,0.26858556,0.25847661,0.2774026,0.2728275,0.26960027,0.3008182,0.29995382,0.28818548,0.2984216,0.25292546,0.26577032,0.23917425,0.29251897,0.25346792,0.2496082,0.2773441,0.2922176,0.2906574,0.30370876,0.27214277,0.284325,0.26432377,0.23934717,0.28918952,0.26535323,0.27825963,0.30951726,0.2950977,0.26247442,0.25038436,0.32392666,0.23606654,0.2942661,0.27411687,0.27404058
7,7,1979-02-25,0.26788247,0.27638587,0.2341994,0.29196805,0.23712678,0.2732383,0.24150002,0.35464394,0.28160548,0.30494225,0.23400217,0.25100955,0.24286744,0.2870543,0.24423897,0.26182446,0.296313,0.33236527,0.25266862,0.330989,0.3235389,0.28525713,0.2864434,0.32267678,0.2667716,0.26202762,0.2555715,0.32121137,0.34087288,0.34470436,0.31346047,0.25593483,0.26142263,0.34098223,0.3269792,0.3579818,0.2680503,0.2867118
8,8,1979-03-04,0.16061558,0.18297404,0.17624491,0.17815226,0.16669291,0.16935946,0.16996795,0.18386668,0.18798807,0.18613261,0.17485636,0.17604977,0.17022075,0.17902201,0.15736419,0.18076152,0.17326564,0.17255534,0.17661113,0.18176478,0.18466777,0.18616821,0.16505641,0.1830249,0.15762736,0.16818635,0.17687438,0.18099548,0.18257731,0.2015562,0.19153422,0.15850097,0.15559603,0.21067892,0.16748637,0.19410533,0.16918212,0.16817504
9,9,1979-03-11,0.2228993,0.1754483,0.18441102,0.23990154,0.20136535,0.22889741,0.18927518,0.20688152,0.18565908,0.16629668,0.17571345,0.16837917,0.3051067,0.24145031,0.15946299,0.19046052,0.28966042,0.16344725,0.19233227,0.18417203,0.22005749,0.19492626,0.1568402,0.26208016,0.1603361,0.32431057,0.17696588,0.31612173,0.29592037,0.22340858,0.20711803,0.1612271,0.1571855,0.17724593,0.15780146,0.27079296,0.20197582,0.20743847
10,10,1979-03-18,0.1756897,0.16712697,0.16962433,0.191185,0.17565155,0.19453685,0.17697906,0.17767715,0.17099914,0.16471793,0.16504288,0.16329193,0.21581574,0.19042206,0.15224296,0.17279308,0.20580292,0.15932673,0.1733017,0.16892122,0.18743134,0.17646027,0.16619611,0.2060318,0.16511832,0.21442921,0.16914216,0.21711476,0.21123886,0.19116363,0.18126678,0.1641143,0.16396171,0.16955312,0.15333651,0.20895767,0.1812973,0.18219757
11,11,1979-03-25,0.14493175,0.1642602,0.16020611,0.1667096,0.15582778,0.17454386,0.18222779,0.1542277,0.1759444,0.15744998,0.15720832,0.15881057,0.15153107,0.17452973,0.14160982,0.16914451,0.1528774,0.14922313,0.15719554,0.15810011,0.18857431,0.18096273,0.15630895,0.17194553,0.15530203,0.14717035,0.16231096,0.16165169,0.17325933,0.17411706,0.18907022,0.15349501,0.15310061,0.1605935,0.14496045,0.17755422,0.17597818,0.17371988
12,12,1979-04-01,0.13929969,0.16244346,0.15886909,0.16296989,0.15448855,0.16791628,0.1743682,0.14733726,0.17337486,0.14656383,0.15770942,0.15260468,0.14970848,0.17253715,0.14098847,0.1697626,0.14700459,0.1416655,0.1517852,0.1487534,0.1744445,0.17882632,0.14292283,0.17190391,0.14489494,0.14234255,0.1576766,0.15756065,0.16676551,0.16542503,0.17574912,0.14476031,0.14230253,0.1476544,0.13600513,0.15538627,0.16923362,0.17156821
