,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
0,1979-01-07,298.88794,297.3964,297.5813,297.54126,297.66855,297.09756,297.09302,297.92212,297.40765,297.08252,297.0487,297.5175,298.3723,297.88013,298.62036,296.85,298.6223,298.38715,297.0703,297.6643,297.09497,296.88712,297.4226,297.25644,297.72858,298.7688,297.39322,298.3502,297.75952,297.14185,297.14575,297.802,298.0839,296.87167,299.1002,297.44214,297.10864,297.13208
1,1979-01-14,298.43628,298.84946,297.74365,297.7268,297.67383,298.14487,298.1411,297.7163,298.5337,297.5868,297.81104,298.74008,298.17963,297.72803,298.29077,297.5375,298.1731,297.86688,297.56787,297.72095,297.9944,297.9484,297.56052,297.84985,297.63608,298.4441,298.68524,297.96362,297.78345,297.6635,297.89282,297.60034,297.7377,297.51978,298.46436,297.8069,298.30518,298.16626
2,1979-01-21,299.12952,300.0909,299.41504,299.04834,299.38916,299.19247,299.25757,298.86304,299.82626,298.32886,298.9776,300.05087,299.2294,299.229,298.90503,298.8103,299.2176,298.75482,299.07178,298.87524,298.9414,299.12393,297.96045,298.8632,298.64194,299.26392,299.99603,299.18515,299.02893,298.47787,298.91187,298.76147,298.81552,298.17813,298.97763,298.91235,299.44946,299.26392
3,1979-01-28,299.03345,297.45987,298.24634,297.2245,297.7626,297.0875,297.0061,297.25244,297.23676,297.25073,297.68823,297.2626,297.83032,297.34204,299.18286,297.17905,297.9502,298.30084,297.61157,297.02612,296.81885,296.8759,297.77954,296.8466,297.719,298.3658,297.3065,297.5647,297.12213,297.02643,296.73853,297.39673,297.8502,297.08813,299.24146,296.8777,297.28735,297.239
4,1979-02-04,297.8235,296.9746,297.40454,296.84265,297.53555,297.02084,296.8047,296.93353,296.95667,296.2456,296.46167,296.8441,297.72046,297.11694,297.8396,296.38467,297.52905,297.26245,296.62573,296.62305,296.9922,296.61636,296.6521,296.9707,296.8418,297.79013,296.89923,297.3689,296.9848,296.4668,296.83984,296.83594,297.2207,296.0371,297.66064,296.74316,297.2129,297.25
5,1979-02-11,298.3667,295.23843,296.0952,295.91162,296.35532,295.54834,295.83252,296.72168,295.2758,295.63135,295.56494,295.19907,297.3415,296.313,298.81396,295.7186,297.30713,297.70987,295.9878,296.0918,295.34814,295.3462,296.65527,295.48877,296.68173,297.82993,295.39795,296.90024,296.12646,295.2542,295.4497,296.57275,297.38266,295.19287,298.4777,295.55078,295.61865,295.4751
6,1979-02-18,303.03345,301.4222,301.4397,301.28345,301.63077,301.30396,301.3274,301.50317,300.76556,300.57593,300.8977,300.67172,302.0895,301.50708,302.9319,300.89053,302.14087,302.53052,301.09985,300.97388,301.2522,300.87753,301.05127,301.06567,301.6731,302.66202,301.32724,301.8339,301.34155,300.43207,301.136,301.7356,302.38272,300.0507,302.90488,300.80884,301.5598,301.5188
7,1979-02-25,303.4807,301.66724,303.42944,303.15063,303.39737,301.47647,300.47388,302.2234,303.09146,299.29712,303.14917,300.27792,302.99146,302.92603,303.47388,303.45566,303.07642,302.84067,303.37427,300.97534,302.96997,303.87753,299.20898,301.99405,300.32974,303.21866,300.86176,302.75903,302.33423,300.4532,303.43872,301.09888,302.0162,298.89966,303.4641,301.57446,302.06177,302.25122
8,1979-03-04,305.47485,304.3539,304.00806,304.92456,304.4672,304.90536,305.115,306.01,304.0523,305.1975,303.7849,304.33374,304.4603,304.9353,304.96167,303.8715,305.30493,306.76694,304.0603,305.82397,304.57886,303.88583,305.61768,304.67685,306.7267,304.98413,304.54974,305.42422,305.4475,304.47516,304.26147,306.9978,307.33896,304.38516,306.1,304.82007,305.04858,305.0056
9,1979-03-11,308.64893,305.7455,306.35486,307.146,307.0604,306.68082,306.52197,307.7456,305.6785,306.9878,305.9538,305.08804,307.76913,307.396,308.4065,306.19644,308.01953,308.4001,306.3247,307.4453,306.77295,306.04477,307.45093,306.79868,308.1083,308.28238,305.722,307.81885,307.45752,306.45166,306.55518,308.35205,308.51025,306.2811,308.67886,306.8042,306.81885,306.9087
10,1979-03-18,307.75415,309.26294,307.41968,307.0183,307.1062,306.90878,306.71313,306.42114,308.89517,305.48462,307.84497,308.0022,307.24683,307.13452,307.6648,306.9423,307.30884,306.2933,307.02148,306.44897,306.96216,307.63663,305.44482,306.6498,306.30893,307.5248,308.4223,306.84512,306.82495,305.90436,306.84448,306.65112,306.47012,305.22763,307.14526,306.56177,307.62036,307.5852
11,1979-03-25,310.99878,309.74707,309.47418,309.89526,309.9164,309.4607,309.23218,310.35767,309.16656,309.7644,310.01855,308.84573,310.27524,309.98218,311.15234,309.78613,310.46655,310.64624,309.74707,310.17065,309.68433,309.19638,309.82275,309.7836,310.34662,310.64755,309.50815,310.3422,310.19946,309.5482,309.69116,310.64624,310.67163,309.2999,310.9965,309.79663,309.52124,309.7146
12,1979-04-01,312.27576,310.78506,310.9768,311.53784,311.44702,311.225,310.9281,311.8352,310.45953,311.4685,310.48022,310.43912,311.73615,311.54272,311.96362,311.087,311.85223,311.90543,311.03198,311.72595,311.4939,310.94247,311.39868,311.48975,311.66095,311.99512,310.86816,311.7382,311.69147,311.36774,311.52905,311.8474,311.87167,311.23022,312.26138,311.44714,311.3728,311.5857
13,1979-04-08,314.67432,312.2137,313.3877,314.04883,314.16895,312.61182,312.4624,314.80566,311.737,313.5293,312.19336,311.8107,314.14862,314.4297,313.81445,312.78613,314.91406,314.77637,313.2754,314.39746,312.4475,311.8732,313.71387,313.31216,314.33026,314.5778,312.20068,314.9248,314.6084,313.79315,312.86035,314.65527,314.848,313.402,314.80957,313.84717,312.53662,312.63428
14,1979-04-15,311.511,314.05737,312.24506,312.86963,312.74496,313.80215,313.85913,311.95953,313.57748,312.39758,312.72632,313.72665,312.06216,313.30225,310.8518,312.90698,312.59375,311.64542,312.62415,312.5534,313.90112,313.83536,311.776,313.25528,312.1355,311.9503,314.0816,312.60522,312.59003,312.8505,313.56323,312.47803,312.26367,312.5515,311.80362,312.84174,314.18237,314.198
15,1979-04-22,307.56738,313.64795,313.22852,313.4126,312.88364,313.66812,313.30322,312.438,313.2487,312.9038,313.1167,312.9961,310.10855,312.75928,305.29358,313.49496,311.14014,311.42188,313.28857,313.0327,314.0464,313.69418,312.2671,313.743,312.73038,308.4904,313.39325,312.09702,313.23438,313.16202,313.99365,313.04443,312.53336,312.94937,308.59985,313.44824,313.91357,314.05615
16,1979-04-29,311.9912,315.01596,313.66748,314.39502,313.9702,314.77432,314.5371,314.25537,314.6401,314.08618,313.57178,314.84668,313.09637,314.23584,309.7434,314.26382,314.01807,313.81006,314.1245,314.1366,315.37427,314.98398,313.7578,314.88803,314.11115,312.68375,314.91815,314.1564,314.37988,314.35376,314.72095,314.12256,314.05185,314.21835,313.05746,314.50153,315.17798,315.48657
17,1979-05-06,311.32208,314.93198,314.41602,315.12476,314.86865,314.84268,314.8933,315.1062,314.57962,314.87354,314.27002,314.3718,313.1425,315.05347,308.7954,314.89468,314.5703,314.41046,314.77295,315.00586,315.29248,314.98062,314.21094,314.96826,314.82928,312.3374,314.8466,315.0184,315.17932,314.75812,315.44092,315.0874,314.66293,314.79443,312.69717,314.81836,315.0913,315.22217
18,1979-05-13,311.39014,316.81567,315.56494,316.28418,316.07227,316.04443,315.6311,316.0962,316.5971,315.68506,315.85522,316.32773,313.6457,316.1582,308.7959,316.17334,315.604,315.52695,315.9635,316.04248,316.40747,316.72974,314.9646,316.17838,315.70273,312.84244,316.52036,315.98047,316.3423,315.85352,316.42578,315.92383,315.65494,315.69077,314.30273,316.0747,316.5266,316.60083
19,1979-05-20,313.93042,316.05045,314.76062,315.2788,314.86533,315.7588,315.52344,314.65277,315.82343,314.88794,315.09082,315.19888,314.9516,314.9165,310.844,315.3151,314.90747,314.54547,314.9983,315.10974,315.9287,315.7601,313.9319,315.54605,314.61172,314.69785,315.77988,314.68686,314.99854,315.14902,315.83545,314.47607,314.47934,314.95084,314.39673,315.2063,316.06738,316.10645
20,1979-05-27,313.94824,315.28287,313.99805,315.11816,314.81216,314.6631,314.49023,315.42725,314.55234,314.71655,313.3589,314.5205,314.65607,315.19336,311.71216,314.29785,315.23877,315.1385,314.292,315.25635,314.72168,314.06152,314.42627,314.80435,315.21426,314.44434,315.0545,315.2972,315.25488,314.48926,314.75488,315.50488,315.33237,314.36685,314.5726,314.9209,314.958,314.79785
