,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
0,1979-01-07,282.16455,280.68198,281.77246,282.13525,282.5875,281.1608,280.9004,281.30615,280.27643,280.9308,281.5498,281.09604,283.17938,282.64795,281.39502,281.58218,282.44922,281.60556,281.58545,281.6223,280.75146,280.05713,281.3764,281.73325,281.1075,282.9152,280.63144,282.50504,281.23682,282.1378,281.25244,281.0708,281.2329,281.05844,282.0897,282.4408,280.75977,280.6875
1,1979-01-14,282.93506,281.41684,281.70752,282.7339,282.67856,281.813,281.52393,282.92285,281.02286,282.72095,280.9961,282.49216,282.64755,282.86768,282.95264,281.59457,282.28125,282.862,281.94336,282.78198,280.9048,281.01285,283.45642,282.2749,283.03485,282.25278,281.56793,282.48453,282.22827,282.88867,281.56885,282.89307,283.0581,282.11475,282.72607,283.0642,281.02393,280.88135
2,1979-01-21,284.19678,283.63477,282.62402,284.5205,284.4694,284.14713,284.7588,283.6836,283.32773,283.9676,282.90332,285.478,284.95663,285.34375,283.83008,282.82486,284.5332,283.54095,283.51758,283.75977,282.53418,282.8763,282.7473,283.59244,283.2145,284.02603,284.54803,283.61197,283.7412,283.83124,282.6953,283.61255,283.1477,283.84116,284.83926,283.71582,283.44922,283.02734
3,1979-01-28,283.56512,282.73813,283.16895,283.604,283.24234,282.84067,282.77686,283.37744,282.4921,282.9533,282.6338,283.3571,284.47534,283.82764,283.14478,282.41812,283.63428,283.97568,282.80518,283.1878,282.55615,282.93246,282.78958,283.0236,283.27588,283.83633,282.72763,283.85352,283.1577,283.17548,283.06982,283.4524,283.5521,282.6342,284.0309,283.5312,282.4673,282.4214
4,1979-02-04,282.74048,280.56308,280.9319,282.29907,281.46606,281.6438,281.7024,281.82788,280.56772,281.9568,280.3694,281.60718,282.2731,282.23657,283.19067,280.78442,282.17358,282.55524,281.14087,282.06323,281.0569,280.88467,281.91473,281.6692,282.3387,282.11905,281.018,282.24536,281.71948,282.02603,281.63403,282.33228,282.55606,281.28604,283.15698,282.1521,281.1731,280.84497
5,1979-02-11,284.20764,280.2001,282.17358,282.77563,282.91928,281.72568,281.052,282.67993,279.86957,282.2973,281.83142,281.76486,284.19733,283.55396,283.4685,282.15317,283.98462,283.1772,282.65454,282.70953,281.71606,280.37915,281.9502,282.69156,282.69907,284.43433,280.97104,283.81406,282.50952,283.00653,281.60962,282.6272,282.94418,282.50284,284.29395,283.0324,281.47803,281.5171
6,1979-02-18,285.0078,284.31372,284.7588,285.27844,285.49698,284.514,284.59888,285.7965,284.3895,285.4781,284.40552,284.79037,285.69183,286.03528,284.6062,284.81363,284.9671,285.29816,285.224,285.70953,284.36926,284.35703,284.46127,284.92944,285.3295,285.4559,284.18936,285.6578,285.11993,285.7317,284.3601,285.13184,285.139,285.24893,285.20728,285.66125,284.06152,284.23926
7,1979-02-25,285.90625,283.8688,284.6997,285.49,284.9606,284.61996,284.20312,284.90784,284.0713,284.1836,284.71387,283.97427,285.61426,285.6338,285.979,284.4463,285.38257,284.80478,284.92578,284.77734,284.4922,284.49643,283.2102,284.96533,284.454,285.70132,284.00018,285.36865,285.0083,284.5372,284.91846,284.74463,284.90283,284.01547,285.43408,285.10706,284.4912,284.4834
8,1979-03-04,286.43506,283.12753,284.17505,284.95435,284.35995,283.91528,283.5852,285.44263,283.72925,284.9021,284.16382,283.53085,285.61725,285.17505,286.1123,283.233,285.54053,285.55396,283.79126,285.109,283.35767,283.5546,284.76123,284.2473,285.57855,285.87637,283.19653,285.95566,285.29834,284.37738,283.71802,285.91138,286.18872,284.00317,285.93253,285.05444,283.63013,283.47388
9,1979-03-11,284.81567,283.36172,284.719,284.5515,285.05054,283.2003,282.89526,284.15308,283.63217,283.6306,284.16968,282.60815,284.97397,284.77417,285.33765,284.32593,284.47974,284.40054,284.6062,284.14917,283.87378,284.031,282.9624,283.88974,283.97592,284.59677,282.98413,284.36044,284.20337,283.6931,284.28296,284.2224,284.29013,283.3318,284.8956,284.10522,283.48218,283.70874
