District,District Area,Grid Area,Grid Lat,Grid Lon,Percent contribution
ALAPPUZHA,1412.61619,4.813032,10,76.25,0.340717601
ALAPPUZHA,1412.61619,257.019341,9.75,76.25,18.19456288
ALAPPUZHA,1412.61619,24.677181,9.75,76.5,1.746913364
ALAPPUZHA,1412.61619,159.982722,9.5,76.25,11.32527881
ALAPPUZHA,1412.61619,284.986392,9.5,76.5,20.17436824
ALAPPUZHA,1412.61619,5.878622,9.25,76.25,0.416151396
ALAPPUZHA,1412.61619,577.641567,9.25,76.5,40.89161452
ALAPPUZHA,1412.61619,85.539541,9.25,76.75,6.055398601
ALAPPUZHA,1412.61619,12.077792,9,76.5,0.85499459
ERNAKULAM,2409.539228,184.015921,10.25,76.25,7.636975521
ERNAKULAM,2409.539228,484.427714,10.25,76.5,20.10457885
ERNAKULAM,2409.539228,78.244029,10.25,76.75,3.247261057
ERNAKULAM,2409.539228,453.332319,10,76.25,18.81406676
ERNAKULAM,2409.539228,757.836508,10,76.5,31.45151153
ERNAKULAM,2409.539228,303.526055,10,76.75,12.59685053
ERNAKULAM,2409.539228,19.714627,9.75,76.25,0.818190747
ERNAKULAM,2409.539228,126.072459,9.75,76.5,5.232222723
ERNAKULAM,2409.539228,2.369596,9.75,76.75,0.098342288
IDUKKI,4770.554309,373.888575,10.25,76.75,7.837424139
IDUKKI,4770.554309,385.14691,10.25,77,8.07342051
IDUKKI,4770.554309,316.458836,10.25,77.25,6.633586277
IDUKKI,4770.554309,454.49362,10,76.75,9.52706102
IDUKKI,4770.554309,758.231093,10,77,15.89398304
IDUKKI,4770.554309,305.292243,10,77.25,6.399512996
IDUKKI,4770.554309,216.469024,9.75,76.75,4.537607372
IDUKKI,4770.554309,718.909704,9.75,77,15.06973105
IDUKKI,4770.554309,231.680264,9.75,77.25,4.856464239
IDUKKI,4770.554309,462.962131,9.5,77,9.704577309
IDUKKI,4770.554309,469.393442,9.5,77.25,9.839389966
IDUKKI,4770.554309,8.401849,9.5,77.5,0.176118926
IDUKKI,4770.554309,69.226618,9.25,77.25,1.451123151
KANNUR,2888.519761,257.061675,12.25,75.25,8.899425874
KANNUR,2888.519761,331.34611,12.25,75.5,11.47113876
KANNUR,2888.519761,3.168974,12.25,75.75,0.109709272
KANNUR,2888.519761,357.979827,12,75.25,12.39319294
KANNUR,2888.519761,752.394658,12,75.5,26.04775872
