weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
2013-01-06,0,0.149500140437373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,1.46941472802843,0,0,0.163861406700952,0.015823176928929,0.865240962732406,0.04587767805372,1.42641888345991,0,1.31060252870832,0.003819439560175,0.474520067373912,0.06800325512886,0.063780320542199,0.590855431343828,0.007325034056391,0.574938265340669,1.63075087411063,0.010385151420321,2.39513429839696,0.07490374147892,0.024403990734191,2.09768976484026,0.921601340884254,1.66923969813756,0.303733956246149,0.004790957910674,0.67133739448729,1.00694230624608,1.06070924741881,0.043023786374501,0.906898089817592,1.55878053392683,0.821040579250881,3.17866952078683,1.08272359466978,0.76395354952131,0.531573704310826
2013-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,0,0.018322285205599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,0,0.002424284579262,0.011422573987927,0,0,0.028165749495938,0.232403878654752,0,0,0.355320368494306,0.008367859359298,0.108999239192122,0,0,0,0,0,0,0,0.009014245654855,0,0,0.175663894042373,0.032354804731551,0.062002877252443,0,0.010707420962197,0,0,0.04863846216883,0,0,0,0.267010603632246,0,0.010043028209891,0,0
2013-02-17,1.38573232718876,0.833176858841427,1.92267525196075,0.914696829659598,1.83838871547154,5.66922396705264,8.95917429242815,1.44788392101015,1.84515030724662,4.64712671722685,1.20878624277455,7.18995587031047,1.35416959098407,1.86096261228834,1.63985557215554,0.548925005963871,1.31938970088959,1.25694264684405,1.89033096177237,3.47043352467673,1.28921444926943,1.0416894583475,5.23182860016823,2.36364044745763,4.83628033399582,1.6418943518684,7.99395678383963,1.13468634514582,1.40247155087335,3.9251816204616,0.57264979822295,1.88230289731707,2.68405678158715,3.29155303183056,0.827294832184201,2.40682102633374,3.62998881084578,2.44704718249185
2013-02-24,0.648829156798976,0.043067114693778,0,0.07763398545129,0.010299602434749,0,0,0,0.232571331518037,0.765995906932013,0.571078483547483,0,0.08565551510879,0,0.007171086966991,0.461565817395846,0.278438252529928,0.257551006759916,0.052112741129739,0.056750339056764,0.037189372948238,0.660056102843512,0.274223949228014,0.052559125991095,0.664139536448887,0.052383542770431,0,0.006517257718813,0,0.060085960796901,0.422093595777239,0.155805706977844,0.222979755628677,1.05061222258068,2.09502197447277,0,0,0
2013-03-03,0,0.013017130039987,0,0,0,0,0.012972530509744,0,0.05400662496686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02544887860616,0,0.00374833387988,0,0
2013-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,0,0.053527842201884,0,0,0,0,0,0,0,0,0,0.114824240406354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
